Name,Age,Income,Satisfaction,Feedback
Eric Lee,49.0,41719.54389887664,Medium,Negative
Melissa Stone,,64600.86367491074,High,
Patricia Ross,41.0,58634.30583463066,Low,Positive
Susan Butler,57.0,53477.2762783829,Medium,
John Jones,20.0,33421.75809112743,Medium,Neutral
Taylor Coleman,70.0,70320.15905828055,Low,Negative
Bonnie Bennett,,50808.6048336131,Low,Neutral
Timothy Ball,55.0,44649.2433992421,High,Negative
Joseph King,26.0,56239.528755725885,Medium,Positive
Christopher Jackson,22.0,,High,Neutral
Brent Hart,42.0,24439.52181304886,Medium,
Joanne Howard,57.0,59936.1740761127,Medium,Negative
Gary Guerra,56.0,76339.48799967291,High,
Alan Vega,,37715.3025042273,High,Neutral
Elizabeth Ford,69.0,58516.96164492547,Medium,Negative
Candice Larsen,29.0,46586.996135853864,Low,Positive
Brandon Lee,43.0,63448.218537052264,Low,Positive
Robert Ryan,74.0,50007.22652221279,Low,
Scott Rhodes V,74.0,30395.067948877175,Medium,
Lynn Turner,43.0,54889.246307063826,Low,Negative
Amber Schmidt,24.0,27190.349615244075,,Neutral
Victoria Mcbride,70.0,62067.55056014501,High,Positive
John Jordan,,28318.355526962663,Medium,Positive
Andrea Hall,72.0,,Medium,Positive
Mary Harvey,51.0,51280.01002816875,High,Neutral
Pamela Cruz,76.0,69678.2097115035,Medium,Negative
Jeffrey Stanley,73.0,31790.2548851042,Medium,Negative
Todd Cruz,,77839.73287459681,Medium,
Cory Johnson,71.0,33369.1299024599,High,Negative
Eric Jones,30.0,58098.84828191226,High,
April Pearson,36.0,63994.09353927917,Medium,
Dan Wilson,38.0,85639.95971299714,Medium,Negative
Tonya Singh,70.0,63439.565943167756,Medium,Negative
Cynthia Bailey,55.0,40587.39250251337,Low,Positive
Christopher Cook,20.0,57306.746072923386,Medium,Neutral
Olivia Hall,56.0,64105.283747366935,High,
Tammy Herrera,39.0,59525.32944212977,Medium,Negative
Ann Rogers,69.0,53283.41785784984,,Positive
Timothy Hammond,67.0,23104.300661478886,Low,Negative
Lauren West,69.0,53794.370317608926,High,Positive
Elizabeth Harris,54.0,69725.7306844402,,
Amanda Miller,46.0,52768.69683007555,Medium,
Laura Brennan,23.0,72017.40576685918,Medium,Neutral
Mary Jones,40.0,54923.19750395785,Low,Negative
Kayla Joseph,58.0,,Low,Positive
Daniel Santiago,63.0,47483.33670538169,Medium,
Jared Moore,50.0,17046.470940640334,Low,Neutral
Kevin Faulkner,77.0,45813.77397022724,Medium,Positive
Tammy Byrd,,45594.77264218694,Medium,Neutral
Kimberly Hood,49.0,57947.93041966942,Low,Positive
Olivia Ramirez,78.0,60903.795221738255,Medium,Neutral
Daniel Kirk,22.0,27397.49196069524,High,
Keith Mills,49.0,51944.52232185524,Low,
Karen Hill DDS,70.0,61353.4100561067,Medium,Neutral
Gina Hernandez,71.0,,,
Jennifer Goodman,53.0,78095.39143889784,High,
Jessica Hines,42.0,36081.869811020144,High,
Ronnie Patterson,70.0,58717.83915343048,Medium,Positive
Robert Rogers,51.0,63626.98853064578,Low,Negative
Isaiah Smith,52.0,62780.03654979572,Low,Neutral
Angel West,,42580.303051603296,Medium,
Rhonda Rodgers,65.0,45100.70607732886,Low,
Megan Harris,69.0,91090.20920432368,Low,Positive
Nicole Smith,78.0,68661.8406013543,Medium,Negative
Amanda Dean,35.0,16263.696703548172,Low,Positive
Derrick Bush,63.0,36073.58420233863,Medium,Neutral
Gregory Willis,29.0,56699.45747878706,Low,
Jean Anderson,52.0,60472.06108090981,Low,
Matthew Mason,78.0,55037.506283150804,High,
Linda Shaw,27.0,50868.19605504897,Medium,Negative
Alexandra Silva,18.0,53978.9686851619,High,
Joshua Mason,74.0,52012.647015404524,Low,Negative
Matthew Williams,71.0,51342.77214004649,Low,Negative
Patrick Dunn DDS,28.0,39435.16412760045,Low,
Anthony Saunders,18.0,36063.15905859048,High,Negative
Lydia Thomas,49.0,39530.97421414091,Low,Positive
Peter Schwartz,70.0,57111.89613050177,Low,
Eric Owens,56.0,67266.31664254278,High,Neutral
David Koch,36.0,54274.187417859735,,Neutral
Jacqueline Arellano,23.0,61963.099022339,High,Negative
Christopher Moore,58.0,28611.22590962231,High,Neutral
Lauren Dawson,20.0,44959.284059976264,Low,
Bobby Brown,31.0,48808.000257070904,Medium,
Marc Walker,76.0,21972.135467086835,Medium,
Kristen Singleton,77.0,65318.55727735252,Low,Negative
Michelle Thornton,61.0,63300.00299798357,Medium,Positive
Jason Turner,63.0,66149.27468733068,Medium,Negative
Nathaniel Cherry,52.0,69478.3835503227,Medium,Positive
Kenneth Davila,62.0,55995.25544338823,Low,Neutral
Charles Monroe,63.0,51433.796984936744,Low,Positive
James Weaver,,,High,Neutral
Donald Murray,28.0,65329.54656729764,High,Positive
Kyle Peck,,35589.77120125451,High,Negative
Joseph Fitzpatrick,63.0,69539.64169769634,Medium,Neutral
Phillip Robertson,48.0,50200.304360921196,High,
Jessica Long,77.0,24022.48775151512,Low,Positive
Courtney Wells,,51036.43111991407,Low,Positive
Jason Phillips,,49233.66611686861,Medium,Negative
Nicole Franco,,54860.83694981532,Low,Negative
Kristin Arnold,65.0,58979.26357394615,High,
Michael Patterson,58.0,52254.10234123768,High,Positive
Pamela Dixon,49.0,19065.027255386012,High,Neutral
Ann Rodriguez,20.0,43717.23857566613,Medium,Neutral
Anthony Smith,24.0,37597.47365274854,High,
Andrew Morgan,67.0,71519.014768859,Medium,Negative
Shannon Gomez,54.0,54789.29967605052,High,Negative
Lisa Burke,52.0,26959.358528031033,Low,Negative
Jeffrey Williams,72.0,40124.66080015499,Low,
Michael White,50.0,,Medium,Negative
John Williams,34.0,51824.83411506006,High,Negative
Lisa Savage,53.0,8648.70631519155,Low,
Amber Vazquez,,49042.43005648814,,Positive
Linda Mejia,,64533.98308776819,Medium,Positive
Troy Holloway,,53396.52545941935,Medium,Positive
Edward Johnson,75.0,36774.182776803245,High,Positive
Christina Johnson,74.0,26007.20069767879,High,Positive
Patrick Burns,24.0,40674.089307668284,Low,
Robert Hernandez,28.0,50964.063518949355,Medium,Neutral
Linda Carpenter,48.0,37733.96307226685,Low,Negative
Jeffrey Arroyo,37.0,32236.929511052764,Medium,Negative
Dr. Rhonda Caldwell DVM,66.0,,Low,
Ann Howard,71.0,34772.71046896474,Medium,Negative
Carlos Smith,23.0,57173.684033398305,Medium,Positive
Molly Miranda,,58878.33324769874,Low,Positive
Lauren Phillips,72.0,36240.39838276902,Medium,
Jacqueline Yu,42.0,51556.76955377641,Medium,Negative
Mark Stevenson,53.0,37859.76712901834,High,
Oscar Santiago,34.0,24432.989906436924,High,Positive
April Rivera,23.0,56798.812335848364,Low,
Karl Harris,59.0,59115.948105560856,High,
Jennifer Torres,72.0,57236.849530665284,High,Negative
Benjamin Bowman,31.0,56396.424353299226,,Neutral
Jennifer Oconnell,,31022.94367573938,Medium,
Taylor Roberts,77.0,44354.387771795526,Low,
Jennifer Miles,75.0,58127.73387072523,High,Neutral
Daniel Morrison,38.0,43677.49642624795,High,Negative
Tamara Bond,,46835.13922266458,Low,Negative
John Casey,18.0,42862.57104093809,Low,Neutral
Justin Petersen,46.0,42620.92421570549,Medium,Positive
Amy Allen,18.0,58286.398057114915,High,Positive
Anna Rivera,66.0,68388.09458729421,High,Positive
Kimberly Matthews,47.0,34108.70484538995,,Negative
Jennifer Johnson,73.0,36479.37990025109,Low,
Jesus Reed,78.0,27729.935090605093,Medium,Positive
David Ortega,74.0,45436.773112139505,Medium,Positive
Alyssa Wheeler,22.0,43592.59449720266,Medium,
Felicia Larsen,64.0,92279.66266531355,Medium,Positive
Michelle Hendrix,,40978.39303979971,Medium,Negative
Gwendolyn Allison,18.0,56600.17646808861,High,Neutral
Tyrone Anderson,71.0,34784.38587315478,Medium,
Robert Wilson,33.0,36965.35405285713,Low,Negative
Diane Martinez,79.0,44193.89357938726,Medium,
Michelle Valenzuela,38.0,60725.47278332182,High,Neutral
Lisa Campbell,78.0,52026.09095639619,High,Neutral
Susan Davis,27.0,44147.88180731564,High,Positive
Christopher Kim,18.0,69503.0184032591,Medium,
John Collier,64.0,61816.31052497415,High,
Amanda Wright,52.0,47715.25832060907,,
Leslie Robinson,75.0,25828.372602154497,Low,
Rebekah Ferguson,24.0,66874.95608198387,,Neutral
Julian Payne,,63524.39112261648,Low,
Joshua Shelton,79.0,,Medium,Negative
Joel Fuentes,73.0,50661.80486942937,Low,Neutral
Jared Tran,70.0,26449.938896059237,High,Negative
Lisa Wilson,59.0,136724.5329864739,High,
Todd Dixon,38.0,29224.585977955136,Low,Neutral
James Alexander,,50932.74946622185,High,Neutral
Brady Johnson,22.0,55461.11589844234,High,
Dennis Cardenas,49.0,57445.80983717724,Medium,Positive
Anthony Adams,22.0,65987.26191877644,Medium,Neutral
Kristin Foster,33.0,50202.249970053286,Medium,Negative
Maureen Ferguson,21.0,62728.25108174464,Low,Negative
Matthew Odonnell,57.0,27950.049028205787,Low,Negative
Matthew Frank,31.0,66351.86259154843,Low,Negative
Jonathan Duffy,41.0,48614.366701979205,High,Negative
Arthur Ford,30.0,66216.97013045153,High,
Robert Diaz,23.0,67464.00427988106,High,Positive
Michael Jensen,43.0,,Low,Negative
Michelle Tyler,76.0,33529.04604299218,High,Neutral
Sue Newman,21.0,56323.85099474421,Low,Positive
Nicole Rollins,27.0,28040.72908680597,Low,Neutral
Yolanda Burton,25.0,46828.875714771944,Medium,Neutral
Teresa Webb,39.0,,Low,
Russell Mcclain,27.0,35816.293404635384,High,
Frank Gilbert,18.0,38172.914273013615,High,Neutral
John King,43.0,31323.549360769946,Low,Positive
Kathy Brown,43.0,50492.473341998986,Medium,Positive
Karina Campbell,27.0,,Medium,
Rachel Williams,27.0,49602.27317891852,Medium,Positive
Ms. Angel Wright,,66905.8290536076,Medium,
Debra Wall,22.0,59936.120422583655,Low,Negative
Sheryl Walters,47.0,42363.29044049999,Medium,Neutral
Scott Schneider,75.0,52890.73879663609,Low,
Jaime Mills,51.0,67712.51102083693,Medium,
Brandon Hodge,,67851.37489471777,High,Neutral
Christopher Bryant,54.0,61148.69392854106,Medium,Negative
Amy Alexander,71.0,56809.454788932184,High,Neutral
Emily Stanton,22.0,58408.457119722465,Medium,Neutral
Kelsey Thomas,70.0,21665.2243180577,High,
Alexandria Murray,56.0,35029.154922193215,High,Neutral
Christopher Jones,36.0,54949.29341087681,Medium,Negative
Sean Alvarado,24.0,45048.237309057746,Medium,Positive
Jasmine Walker,19.0,41577.011088064224,Low,
Jonathan Gomez,57.0,42012.87390165767,Low,Neutral
Sally Gomez,35.0,59188.21071043925,Medium,
Michelle Ritter,,42424.129570219724,High,Positive
Jenny Klein,79.0,59949.53994426166,Low,Neutral
Cindy Kelly,,60792.16513240455,High,Positive
Sandra Wolf,20.0,52477.9074138988,Medium,Positive
Sara Moore,,62790.31410800389,Medium,Positive
Ellen Ramos,18.0,71235.91604200126,Medium,Positive
Dr. Sheila Davis,72.0,56020.57736791631,,
Kevin Stewart,43.0,47407.59231268531,High,Positive
Jack Martin,47.0,71913.03155992586,High,Positive
Scott Douglas,30.0,48371.997567203056,High,Negative
Marissa Moore,23.0,,High,Negative
Michael Reynolds,24.0,67309.09291097679,Low,Positive
Stacy Gonzales,65.0,44886.124562269986,Medium,
Heather Kidd,,51091.10905874634,High,Neutral
Jeremy Bauer MD,59.0,60652.94678610874,High,
Ashlee Parker,55.0,51190.41884206281,High,
Brian Johnson,,,Medium,Negative
Scott Richardson,34.0,30105.697726876082,Medium,Neutral
Amber Jones,52.0,55993.62166435759,Low,Neutral
Pamela Brown,24.0,36246.962689936474,Medium,
Rickey Montoya,61.0,37654.82335461433,Medium,Neutral
Hector Mejia,47.0,69786.75560038409,Medium,
Kelly Perez,75.0,58138.36073793932,High,Negative
Kaitlin Orozco,31.0,48845.64820787365,Low,Positive
Kathleen Castillo,54.0,45051.79830230115,Low,
Daniel Goodman,22.0,41871.96028085962,,Positive
Heather Baker,30.0,72431.0370033571,Low,Neutral
Steven Reese,32.0,33968.54907767637,Low,Negative
Jesse Jenkins,49.0,54183.328462487145,Medium,
Alex Wheeler,61.0,37093.909117630436,High,
Kristen Pierce,34.0,45278.778309276066,Medium,Neutral
Kevin Whitaker,76.0,38425.567249846994,Medium,Positive
Edward Cortez,35.0,70959.97292908581,Medium,Positive
John Rivera,39.0,44555.040643023225,Medium,Negative
Heather Massey,26.0,19302.682520991395,Low,Positive
Amanda Williams,73.0,61675.50761708927,Low,Neutral
Justin Mcgrath,,44398.79794258904,Low,Negative
Nicholas Bright,48.0,40921.482975922154,Medium,
Daniel Johnson,41.0,,Low,Positive
Alan Kelley,78.0,33982.87072794933,High,Positive
Benjamin Smith,61.0,33323.5414235589,Low,Positive
Amanda Garrison DVM,47.0,40512.7436687844,Low,Positive
Peter Mcconnell,,48659.15114415224,Medium,Negative
Paul Tapia,57.0,28269.13919608717,Low,Positive
Thomas Moore,76.0,68449.37670458702,High,Positive
Kristin Hall,25.0,42386.448065546225,High,Neutral
Allen Martin,28.0,48413.99403173583,Low,Negative
Kristen Davis,60.0,55015.16763642731,High,
Erin Hanson,60.0,49513.63610104541,High,Neutral
Alexis Mclaughlin,50.0,43576.68619740968,High,
Robin Drake,25.0,46820.702632384244,Medium,Neutral
Kenneth Anderson,32.0,81772.49989861532,Low,Negative
Jeffery Miller,29.0,44771.501137723644,Medium,Neutral
Kristie Scott,21.0,75189.61034349183,,
Misty Bean,,91032.6287067818,Low,Negative
Patrick Solomon,69.0,43724.554417249004,High,
Cheryl Barker,64.0,27389.142408106258,Medium,Positive
Carly Burke,64.0,30805.815398732713,High,Neutral
Katelyn Wilkins,69.0,69749.43907234703,High,Neutral
Debra Yoder,,44080.81099858185,High,Positive
Richard Randall,28.0,51824.144247366414,Low,
Karen Bailey,33.0,41965.83734257338,High,Positive
Jeremy Russell,53.0,43463.50570126777,High,
Sarah Harmon,,59686.998716179856,Low,
Dr. Sara Miller,70.0,49203.847311705664,Low,Positive
Rachel Johnson,63.0,44568.64653575278,Medium,Positive
Amy Hernandez,70.0,49244.86722613168,Medium,Negative
Anna Black,70.0,39606.69391090551,High,Neutral
Carlos Schultz,48.0,40132.425374584695,Medium,Positive
Stephanie Taylor,71.0,,Medium,Neutral
Kelly Rogers,58.0,51097.54996286756,High,
Edward Baker,58.0,71237.04797390562,High,
Melissa Lynch,58.0,35516.21207534996,High,Neutral
Craig Livingston,,62098.155258945655,Low,
James Chapman,61.0,35127.766690202516,Medium,
Timothy Graham,35.0,56219.96841904854,Medium,Positive
Adrian Brown,54.0,71546.78817750847,Low,
Melissa Hunter,67.0,45464.49576717499,High,
Anthony Ramirez,,67703.81126462849,High,Negative
David Oconnor,49.0,36157.3699950642,Low,Neutral
Paul Henry,76.0,24204.920886820237,Medium,
Audrey Alvarez MD,61.0,39783.40352853725,Low,
Judy Camacho,60.0,42031.76968064047,Low,Negative
Theresa Keller,54.0,65953.8662394058,Low,
Jillian Sloan,23.0,63080.73423678074,Low,Neutral
Heather Byrd,19.0,68342.6736195919,High,Negative
Travis Matthews,41.0,65326.504261333626,Medium,
Isaiah Williams,32.0,59303.83367187053,Low,Positive
Kelli Young,50.0,54413.72872618086,Low,Negative
Ryan Chavez,18.0,51363.19462822791,Low,Negative
Jaclyn Jones,44.0,90791.35451001074,High,Positive
Kerry Miller,,57465.153732567676,Low,
Samantha Turner,22.0,67506.98326711133,High,
Gloria Holmes,21.0,60248.32474645824,Medium,
John Miller,78.0,49433.38063987524,Medium,Negative
Todd Grimes,30.0,42498.55549602937,Low,Positive
Kimberly Blankenship,,46218.62468849515,,
Erik Davis,18.0,58208.386828889685,Medium,Negative
Deborah Humphrey,51.0,,High,
Monique Burgess,56.0,58365.55799001131,,Neutral
Sandra Fowler,,58396.35124994379,Medium,
Janet Tyler,44.0,,Medium,Positive
Gabriela Barnett,54.0,73494.59317609076,High,Positive
Adam Stevens,67.0,48858.282178735884,Medium,Positive
Jocelyn Garcia,62.0,56162.481355811746,Medium,Negative
Erika Ferguson,19.0,54478.56835032698,High,Neutral
Chad Trujillo,34.0,34262.31056216234,Medium,
Gregory Wilson,64.0,36782.439699398434,Low,
Charles Maxwell,24.0,50045.089256173516,High,Positive
David Brown,63.0,20510.95015295941,Medium,Positive
Michael Brown,72.0,49509.11920759225,High,Neutral
Alexander Pugh,49.0,26586.236550817037,High,Neutral
Christopher Potter,65.0,55366.6435359842,Medium,Neutral
Charles Stevenson,61.0,45478.99783190827,Medium,Positive
Angel Jackson,53.0,56805.78395986582,High,
Lindsay Gonzalez,23.0,52046.90591860524,Low,Negative
Grace Zimmerman,,72780.01205265847,Medium,Positive
Antonio Knox,37.0,49048.48239555816,Low,
Joseph Gutierrez,26.0,53075.56695151232,Low,Positive
Jason Roberts,45.0,80144.21754287854,Low,
Lisa Atkins,39.0,29716.314769735192,Medium,Positive
Mr. William Weaver,63.0,75669.82380827078,High,Neutral
Cathy Hunt,75.0,68359.69107245884,Medium,Negative
Leslie Taylor,,74502.72578811954,Low,
Joseph Carrillo,61.0,51147.83839475464,Medium,
Andrew Jordan,73.0,31959.393865473696,Low,
Alexis Jones,36.0,68002.63100040265,Medium,Negative
Kristen Lara,53.0,70224.77864735217,High,Negative
Dennis Moon,56.0,46648.29654148177,Low,
Christopher Gibson,72.0,63453.68485896826,Medium,
Amy Lewis,69.0,75348.49105200745,Medium,Neutral
Matthew Chapman,69.0,55262.61085385665,,Positive
Andre Hernandez,18.0,40552.5900833317,Medium,
Daniel Clayton,28.0,44228.378597954455,Low,Positive
Ms. Christine Oneill PhD,51.0,,High,Neutral
Cindy Maldonado,73.0,48080.32609858519,High,Neutral
Emma Hamilton,79.0,51509.375796586515,Low,
Lauren Adams,66.0,54256.25115233621,Medium,Positive
Andrew Mcintyre,66.0,37603.90442580011,High,Neutral
Dr. Angela Wallace,68.0,,Medium,Negative
Gregory Rivera,58.0,78596.98220172848,High,
Barbara Crawford,59.0,41521.075094261774,Medium,Negative
Kristina Adams,33.0,48288.79078965709,High,Negative
Sandy Grimes,47.0,62304.425782417005,High,Neutral
Jamie Camacho,54.0,55380.68289359443,Medium,
Kristy Wong,62.0,36086.133963694236,,
Angela Lawson,44.0,50715.56563651295,Low,Positive
Kevin Conner,74.0,29529.867637084404,Medium,Neutral
Tiffany Delgado,20.0,67475.34691921547,Medium,
Richard Mccann,35.0,37546.043071528264,Low,Positive
Jeffrey Martinez,76.0,50898.73494845699,High,
Kelly Miller MD,52.0,12387.263548721276,Medium,Negative
Cheryl Rocha,32.0,38405.74268877874,Low,Neutral
Jeffery Warner,41.0,22960.28931846923,High,
Susan Harris,30.0,62708.989085139605,Medium,Neutral
Christopher Howard,33.0,44495.12526790308,Low,
Jordan Johnson II,68.0,64414.12540736808,High,Neutral
Marvin Myers,48.0,,High,Neutral
Allison Thompson,52.0,31693.787110760517,High,
Crystal Brown,41.0,56657.20381081531,Low,Negative
Brian Schmidt,70.0,29995.70892850894,Low,Neutral
Alicia Johnson,,60659.88940956827,Low,
Joshua Gonzalez,21.0,63577.43729549214,Low,Negative
Catherine Liu,67.0,66245.42420503305,Medium,Neutral
Cheryl Coleman,30.0,42142.35657098313,High,Negative
Joe Johnson,73.0,49446.043594696435,Low,
David Wilson,62.0,63478.81958515691,Medium,
James Lee,51.0,57985.74131508847,High,Negative
Charles Thompson,51.0,50562.06380818292,High,Negative
Stephanie Massey,65.0,,High,Neutral
Shawn Duncan,63.0,66712.9591927426,Medium,Positive
Donna Hernandez,74.0,52477.840283789934,Medium,
Gloria Haynes,76.0,61455.54260809995,High,Neutral
Andrew Garcia,,62145.78194488169,High,Positive
Kelly Wright,,48238.644461411364,Medium,Neutral
Keith Porter,58.0,63687.45724694905,Medium,
Dawn White,64.0,33655.95408896773,High,Negative
Thomas Moreno,,56997.48807568905,Medium,
Jason Mcgee,21.0,22766.434152247675,Low,Positive
Michael Ramos,66.0,25310.582603154482,Low,Positive
Dennis Martinez,,44156.658987352406,Medium,Positive
Kyle Davis,33.0,72497.68034348158,Low,
Douglas Wilson,25.0,30213.28815719288,Low,Neutral
Ronald Carter,37.0,52157.20097965264,Medium,Neutral
Charles Reynolds,49.0,42274.870863218865,Low,Negative
Robin Alvarez,63.0,,High,Neutral
Frank Thompson,40.0,43363.79047599478,Low,Neutral
Kenneth Hernandez,78.0,82078.74479853234,Medium,
Michael Smith,48.0,62815.93580970928,Medium,
Christopher Carroll,52.0,49811.155443126154,Medium,Positive
Jeffrey Stanton,37.0,63262.822369425405,Low,Positive
Timothy Morrow,41.0,43578.265912625364,Low,Negative
Jeremiah Conner,49.0,73088.51152549614,Low,Neutral
Casey Day,49.0,25710.053021997617,High,
William Shepard,62.0,47846.23177203021,Medium,Negative
Olivia Price,39.0,49131.55654170847,Low,Positive
Brian Diaz,28.0,42224.665546365184,Medium,
Thomas Johnston,62.0,54544.76291424993,Medium,Neutral
Kevin Brooks,,35582.84299747596,Medium,Negative
Michelle Mercado,56.0,48743.32085568013,Low,Positive
Brian Hicks,59.0,66089.98732081623,Medium,Neutral
John Lee,46.0,49990.50084873719,Medium,
Joann Gray,31.0,55984.4609427996,Low,Negative
Michael Carter,30.0,10168.795772371996,High,Negative
Douglas Powers,,40768.301468951315,Medium,
Allison Perez,33.0,80170.50911602238,,Neutral
Katherine Berry,,49457.63162845505,High,Negative
Curtis Powers,33.0,46583.27500750352,High,Negative
Benjamin Green,20.0,59397.514122250024,Medium,Negative
Lauren Fox,76.0,41849.13662941546,Low,Neutral
Brittney Owens,74.0,45394.767452051805,High,Negative
Debra Villegas,38.0,51312.695756829096,,Neutral
Terri Jones,22.0,54158.55511882156,Low,
Julian Wise,,50895.11216091633,High,Positive
Teresa Jones,72.0,68672.58130342561,Medium,Negative
Kaitlyn Green,51.0,44640.69032804663,Low,Negative
Laura Johnson,49.0,61617.94888914393,Medium,Negative
Hannah Gilmore,31.0,65922.74199841674,High,Negative
John King,27.0,64789.82786419208,Low,Negative
Jeffery Taylor,32.0,69713.42096746425,Low,Positive
Cynthia Weeks,,54883.318628154484,Low,Positive
Kristin Silva,19.0,34651.96066263803,Medium,Negative
Erica Miranda,46.0,77851.71166207892,Low,Neutral
Michael Terry,21.0,43841.090247011525,Low,
Andrew Ponce,60.0,47711.31450694654,High,
Philip Holland,,49245.731704318016,Medium,Positive
Jeffery Sanchez,21.0,48538.29676209804,Low,Positive
Tiffany Miller,33.0,183582.96932126905,High,Negative
Amanda Warner,,33060.0191262314,Medium,
Barbara Green,72.0,64398.258477989526,Medium,Negative
Michael Smith,38.0,65202.0886424548,Low,Neutral
Ryan Mcintyre,76.0,81386.9499209332,High,
Shelly Hill,70.0,52995.35744420086,Low,Neutral
Michael Holmes,78.0,27972.213371773072,Medium,
Darrell Cummings,27.0,42195.251183986344,Low,Positive
Melissa Leonard,41.0,45593.76040295358,High,Positive
Amanda Ford,75.0,34738.6605248235,Low,Neutral
Alexandra Bowman,53.0,52275.03838319292,High,
Jason Sweeney,61.0,28164.486995695435,Low,
Sarah Williams,78.0,56446.167318024774,Low,Neutral
Rachel Velazquez,34.0,51135.91782427872,High,Positive
Rebecca Walters,20.0,55524.62209728893,High,
Heather West,18.0,54428.82305356604,,
Joseph Jones,,25266.041590510576,Medium,
Terry Gomez,77.0,52799.76178611814,High,
Zachary Cox MD,72.0,34581.0535511776,High,Neutral
Tiffany Dyer,37.0,49461.24619322018,Medium,Neutral
Nicole Harris,38.0,70117.75538406818,Medium,
Karen Thomas,19.0,43298.37992626107,Low,Negative
Amanda Townsend,45.0,73706.69134682284,High,Positive
John Bowen,30.0,58997.6446052323,Medium,Neutral
Mark Castro,,46718.64574990241,,
John Johnson,71.0,62820.94111179427,Low,Neutral
Phillip Miller,36.0,57865.91798510045,Low,Positive
Amy Brown,21.0,47884.73230877488,Low,
Christopher Allen,76.0,,High,Neutral
Calvin Ryan,65.0,61367.93197275156,Low,Positive
Leonard Smith,25.0,30361.71608710882,Low,
Edward Mcfarland,52.0,55395.74112497666,Low,
Carol Austin,78.0,68955.0201512986,Medium,Positive
David Underwood,46.0,36428.12818549826,High,Negative
Jade Bradley,42.0,53794.53171427108,High,Neutral
Mr. Justin Perez,26.0,55314.87766311621,Medium,Neutral
Andrew Nixon,55.0,33080.7471144827,Medium,
Kimberly Jenkins,50.0,84485.29587594463,Medium,Neutral
Michael Stephenson,33.0,48479.856940508085,High,Negative
Kiara Miller,30.0,76644.4523025192,Low,Positive
Dawn Sharp,45.0,76256.61327759842,Low,
Amanda Santiago,31.0,32734.245447417583,Low,Neutral
Mary Lawson,,76171.24809723425,Medium,Positive
Bobby Ferrell,45.0,38791.14189051578,Medium,Positive
Kaitlin Villa,74.0,49014.434454092436,Low,Neutral
Scott Lopez,69.0,58490.953395165445,High,
Eric Robinson,,69553.75410799161,Medium,
Amanda Patel,45.0,54443.087055949894,Medium,Positive
Dr. John Bowman MD,37.0,60639.99351530844,High,Negative
Samantha Robbins,60.0,44624.4147146089,Medium,Positive
Angela Myers,65.0,47642.1929290678,Medium,
Kenneth Brooks,70.0,66765.1577611926,High,Neutral
Jennifer Garcia,60.0,35177.778012867566,Low,
Meghan Watkins,47.0,39474.414898730116,Medium,Neutral
Christopher Conrad,75.0,50394.35056606788,Low,Negative
Ryan Rodriguez,41.0,57989.173176621545,,
Mr. Gregory Garcia DDS,34.0,,Medium,
Dr. Alexis Beck DDS,38.0,47069.775302915165,High,
Diana Anderson DVM,28.0,50919.557595639504,Medium,Negative
Jennifer Sweeney,30.0,35098.96770236312,Low,Negative
Joy Owens,65.0,83174.63929230993,Medium,
Heather Vaughan,30.0,39508.136867777976,High,Positive
Micheal Lamb,,43659.16272776212,Low,Positive
Bryan Manning,50.0,46889.166013706905,Low,Positive
Matthew Welch,30.0,53831.26268799018,Medium,
Cody Jackson,29.0,31445.230254510305,,
Kimberly Richard,20.0,36500.8626630731,Medium,Negative
Melissa Lee,75.0,49779.321457996455,Medium,Negative
Thomas Brown,71.0,52627.5253173821,Low,Positive
Greg Maldonado,48.0,49537.009830050236,High,Positive
Joseph Lawson,72.0,38580.64627425804,High,
Michael Valdez,62.0,39360.99410898935,Medium,
Aaron Ho,55.0,33505.48959253793,Low,Neutral
Tina Bell,,31493.739173171074,High,Positive
Brandy Wilson,55.0,41605.58096729592,High,Negative
Jennifer Mitchell,75.0,74477.76619467905,Low,
Caleb Goodwin,,45563.48919404736,Medium,
Bobby Wang,,72255.18282983359,Low,Negative
Lindsey Farmer,57.0,53042.81303388347,High,Neutral
Larry Gardner,,16947.647086890676,Low,Positive
Debbie Davis,65.0,53772.06470780277,Low,Positive
Mercedes Pearson,47.0,38594.701979801466,Low,
Joseph Richards,37.0,52523.074785228935,Low,Neutral
Autumn Perry,76.0,26594.027115626224,Medium,Neutral
Michael Watts,57.0,,High,
Melissa Brown,,,Low,Neutral
Ian Cooper,76.0,42137.00623689614,Medium,
Rebecca Wallace,45.0,60582.709270645515,High,Positive
Steven Hernandez,71.0,51405.83302032749,High,
Henry Mueller,42.0,50960.90491672158,Low,Positive
Cindy Rogers,,46473.54264817404,Medium,Negative
Patrick Conway,,44149.49018892624,High,Neutral
Michael Griffin,47.0,35199.836607116864,Medium,Negative
Jeremy Smith,76.0,46865.31832971642,Low,Neutral
Jeffery Cox,,45643.70301842728,Low,Negative
Meghan Johns,57.0,67191.70969593461,High,Negative
David Tanner,18.0,55216.142598441955,Low,Negative
Andrew Richardson,43.0,49533.54693990864,Low,
Jennifer Mosley,26.0,59802.22307929526,Medium,Neutral
James Velasquez,64.0,,Low,Negative
Scott Hodges,64.0,50079.57860597525,High,Neutral
Tonya Harris,,36781.75000795527,High,
Meredith Wilson,41.0,49354.35232648089,Medium,Negative
Victor Bradford,43.0,76413.22526356643,High,
